,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (credited),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Unemployment rate,Inflation rate,GDP,Target
0,1,17,5,171,1,1,122.0,1,19,12,5,9,127.3,1,0,0,1,1,0,20,0,0,0,0.0,0,0,0.0,10.8,1.4,1.74,0
1,1,15,1,9254,1,1,160.0,1,1,3,3,3,142.5,1,0,0,0,1,0,19,0,0,6,14.0,0,6,13.666666666666666,13.9,-0.3,0.79,1
2,1,1,5,9070,1,1,122.0,1,37,37,9,9,124.8,1,0,0,0,1,0,19,0,0,0,0.0,0,0,0.0,10.8,1.4,1.74,0
3,1,17,2,9773,1,1,122.0,1,38,37,5,3,119.6,1,0,0,1,0,0,20,0,0,6,13.428571428571429,0,5,12.4,9.4,-0.8,-3.12,1
4,2,39,1,8014,0,1,100.0,1,37,38,9,9,141.5,0,0,0,1,0,0,45,0,0,5,12.333333333333334,0,6,13.0,13.9,-0.3,0.79,1
5,2,39,1,9991,0,19,133.1,1,37,37,9,7,114.8,0,0,1,1,1,0,50,0,0,5,11.857142857142858,0,5,11.5,16.2,0.3,-0.92,1
6,1,1,1,9500,1,1,142.0,1,19,38,7,10,128.4,1,0,0,1,0,1,18,0,0,7,13.3,0,8,14.345,15.5,2.8,-4.06,1
7,1,18,4,9254,1,1,119.0,1,37,37,9,9,113.1,1,0,0,0,1,0,22,0,0,0,0.0,0,0,0.0,15.5,2.8,-4.06,0
8,1,1,3,9238,1,1,137.0,62,1,1,9,9,129.3,0,0,0,1,0,1,21,1,0,6,13.875,0,6,14.142857142857142,16.2,0.3,-0.92,1
9,1,1,1,9238,1,1,138.0,1,1,19,4,7,123.0,1,0,1,0,0,0,18,0,0,5,11.4,0,2,13.5,8.9,1.4,3.51,0
10,1,1,1,9670,1,1,139.0,1,38,19,5,7,130.6,1,0,0,1,0,0,18,0,0,6,12.333333333333334,0,5,14.2,13.9,-0.3,0.79,1
11,1,1,1,9500,1,1,136.0,1,19,38,9,9,119.3,1,0,0,1,0,1,18,0,0,7,13.214285714285714,0,7,13.214285714285714,12.7,3.7,-1.7,1
12,1,1,2,9853,1,1,133.0,1,19,37,4,9,130.2,1,0,0,1,0,0,19,0,0,0,0.0,0,0,0.0,12.7,3.7,-1.7,0
13,1,53,1,9254,1,42,110.0,1,1,1,4,7,111.8,1,0,0,1,0,1,21,0,0,6,10.571428571428571,0,5,11.0,8.9,1.4,3.51,1
14,1,1,1,9085,1,1,149.0,1,38,37,5,5,137.1,1,0,0,1,0,1,18,0,0,4,13.25,0,5,12.0,10.8,1.4,1.74,1
15,1,1,1,9773,1,1,127.0,1,19,37,9,3,120.7,1,0,0,1,0,0,20,0,0,5,13.2,0,0,0.0,15.5,2.8,-4.06,0
16,1,18,1,9238,1,1,137.0,1,19,38,5,8,137.4,1,0,0,1,0,0,18,0,0,1,12.0,0,2,11.0,10.8,1.4,1.74,1
17,1,17,2,9500,1,1,135.0,1,19,1,5,4,127.3,1,0,0,1,0,0,18,0,0,7,13.30625,0,8,14.545,15.5,2.8,-4.06,1
18,1,1,1,9130,1,1,137.0,1,3,19,3,5,136.3,1,0,0,1,0,0,20,0,0,4,12.5,0,4,12.25,10.8,1.4,1.74,1
19,1,1,1,9853,1,1,140.0,1,19,19,7,7,124.6,1,0,0,1,0,0,18,0,0,6,11.666666666666666,0,6,13.5,16.2,0.3,-0.92,1
20,1,1,3,171,1,1,122.0,1,1,1,9,8,120.3,0,0,0,1,0,1,21,0,0,0,0.0,0,0,0.0,11.1,0.6,2.02,1
21,1,18,4,9556,1,1,127.0,1,1,38,4,7,121.8,1,0,0,1,0,0,20,0,0,7,11.4375,0,8,11.425,12.7,3.7,-1.7,1
22,1,1,4,9500,1,1,142.0,1,19,19,1,1,125.5,1,0,0,1,0,0,18,0,0,7,12.857142857142858,0,7,12.857142857142858,12.7,3.7,-1.7,1
23,1,1,4,9670,1,1,125.0,1,1,38,4,7,114.9,1,0,0,1,0,1,19,0,0,6,13.375,0,6,12.285714285714286,11.1,0.6,2.02,1
24,1,1,1,9500,1,1,126.0,1,19,19,3,7,123.9,0,0,0,1,0,0,19,0,0,6,13.296666666666669,0,7,14.114285714285714,11.1,0.6,2.02,1
25,1,1,1,9238,1,1,151.0,1,19,38,9,9,157.0,1,0,1,1,0,1,18,0,0,5,11.6,0,4,11.0,7.6,2.6,0.32,1
26,1,17,2,9238,1,1,115.0,1,19,38,7,8,116.4,1,0,0,1,0,0,21,0,0,6,11.375,0,6,13.285714285714286,16.2,0.3,-0.92,1
27,1,1,1,9085,1,1,138.0,1,19,19,3,3,131.0,1,0,0,1,0,0,18,0,0,5,12.666666666666666,0,4,13.0,9.4,-0.8,-3.12,1
28,1,1,1,9147,1,1,135.0,1,19,1,9,9,122.1,1,0,0,1,0,0,20,0,0,5,12.0,0,5,12.333333333333334,16.2,0.3,-0.92,1
29,1,17,2,9500,1,1,127.0,1,3,3,1,10,118.8,1,0,0,1,1,0,19,0,0,6,12.933333333333332,0,6,13.716666666666669,16.2,0.3,-0.92,1
30,1,44,1,9003,1,39,150.0,1,4,5,4,2,150.0,0,0,0,1,1,0,21,0,0,5,11.857142857142858,0,5,10.571428571428571,16.2,0.3,-0.92,1
31,1,51,1,9070,1,1,125.0,1,42,3,125,124,130.0,1,0,0,1,1,0,20,0,2,6,12.833333333333334,0,4,13.4,8.9,1.4,3.51,1
32,1,1,1,9147,1,1,143.0,1,1,1,4,6,138.8,0,0,0,0,1,0,18,0,0,3,11.333333333333334,0,2,13.5,8.9,1.4,3.51,1
33,1,18,1,8014,0,1,138.0,1,19,1,9,5,134.5,1,0,0,1,0,0,19,0,0,6,12.666666666666666,0,6,14.375,12.4,0.5,1.79,1
34,1,1,1,9991,0,1,130.0,1,2,37,3,9,131.4,0,0,0,1,1,0,34,0,0,5,12.4,0,5,13.428571428571429,13.9,-0.3,0.79,1
35,1,39,1,33,1,1,130.0,1,38,37,9,6,102.5,0,0,1,0,1,0,37,0,0,0,0.0,0,1,10.0,8.9,1.4,3.51,0
36,1,39,1,9119,1,10,133.1,1,34,37,0,0,128.8,1,0,0,1,1,0,43,0,0,0,0.0,0,0,0.0,7.6,2.6,0.32,0
37,1,43,1,9147,1,1,140.0,1,37,37,6,6,122.9,0,0,0,1,0,0,55,0,0,1,10.0,0,2,12.0,16.2,0.3,-0.92,0
